id,city,gugun,dong,x,y,latitude,longitude
2820058300,인천광역시,남동구,만수6동,56,124,37.440913888888886,126.73975277777778
2820065000,인천광역시,남동구,장수서창동,56,124,37.43308333333333,126.74945277777778
2820065500,인천광역시,남동구,서창2동,56,124,37.4240149,126.7521618
2820066000,인천광역시,남동구,남촌도림동,55,124,37.42937777777777,126.71728611111112
2820069000,인천광역시,남동구,논현1동,56,123,37.40568978,126.7293199
2820070000,인천광역시,남동구,논현2동,55,123,37.40422435,126.7163943
2820071000,인천광역시,남동구,논현고잔동,55,123,37.40145277777778,126.71834166666667
2823751000,인천광역시,부평구,부평1동,55,125,37.49143333333333,126.72210833333334
2823752000,인천광역시,부평구,부평2동,55,125,37.48408888888889,126.72004166666667
2823753000,인천광역시,부평구,부평3동,55,125,37.48323888888889,126.71028611111112
2823754000,인천광역시,부평구,부평4동,56,125,37.498041666666666,126.727
2823755000,인천광역시,부평구,부평5동,56,125,37.490825,126.730475
2823756000,인천광역시,부평구,부평6동,56,125,37.48363055555556,126.72653333333334
2823757000,인천광역시,부평구,산곡1동,55,125,37.50414166666667,126.70231944444444
2823758000,인천광역시,부평구,산곡2동,55,125,37.50305,126.71070833333332
2823758100,인천광역시,부평구,산곡3동,55,125,37.48795277777778,126.71151111111112
2823758200,인천광역시,부평구,산곡4동,55,125,37.499075,126.71354444444444
2823759100,인천광역시,부평구,청천1동,55,126,37.51392777777778,126.70389722222222
2823759200,인천광역시,부평구,청천2동,55,125,37.51206111111111,126.70653333333334
2823764100,인천광역시,부평구,갈산1동,56,126,37.51481111111111,126.72934444444444
2823764200,인천광역시,부평구,갈산2동,56,125,37.507955555555554,126.72793055555556
2823764600,인천광역시,부평구,삼산1동,56,126,37.51562777777778,126.73977777777776
2823764800,인천광역시,부평구,삼산2동,56,125,37.50897222222222,126.73848611111111
2823765000,인천광역시,부평구,부개1동,56,125,37.4827,126.73910833333332
2823766000,인천광역시,부평구,부개2동,56,125,37.492,126.73922222222222
2823766100,인천광역시,부평구,부개3동,56,125,37.50156388888889,126.737
2823767000,인천광역시,부평구,일신동,56,125,37.481566666666666,126.74897777777778
2823768000,인천광역시,부평구,십정1동,55,125,37.47297222222223,126.6982
2823769000,인천광역시,부평구,십정2동,55,125,37.471,126.71013055555557
2824560100,인천광역시,계양구,효성1동,55,126,37.52960555555556,126.71422222222222
2824560200,인천광역시,계양구,효성2동,55,126,37.52223333333333,126.71186388888889
2824561100,인천광역시,계양구,계산1동,55,126,37.54010833333333,126.726575
2824561200,인천광역시,계양구,계산2동,56,126,37.54462222222222,126.7292638888889
2824561300,인천광역시,계양구,계산3동,56,126,37.53392777777778,126.73113333333332
2824561400,인천광역시,계양구,계산4동,56,126,37.53178333333333,126.74389722222222
2824562100,인천광역시,계양구,작전1동,56,126,37.52791944444444,126.73188611111112
2824562200,인천광역시,계양구,작전2동,55,126,37.53008888888889,126.72606666666668
2824564000,인천광역시,계양구,작전서운동,56,126,37.525238888888886,126.73855277777778
2824571000,인천광역시,계양구,계양1동,56,127,37.57410277777778,126.73624166666669
2824572000,인천광역시,계양구,계양2동,56,126,37.54095555555556,126.73916666666666
2824573000,인천광역시,계양구,계양3동,56,127,37.5591666666667,126.7604
2826051500,인천광역시,서구,검암경서동,55,127,37.56166111111111,126.67570833333332
2826053000,인천광역시,서구,연희동,55,126,37.546225,126.68026666666668
2826053600,인천광역시,서구,청라1동,54,126,37.53197235,126.653834
2826053700,인천광역시,서구,청라2동,54,126,37.53196667,126.6410139
2826053900,인천광역시,서구,청라3동,54,126,37.5246933,126.6295261
2826054200,인천광역시,서구,가정1동,55,126,37.520447222222224,126.67653333333334
2826054300,인천광역시,서구,가정2동,55,126,37.52355277777777,126.67983333333332
2826054400,인천광역시,서구,가정3동,55,125,37.51271944444444,126.67991944444444
2826055000,인천광역시,서구,석남1동,55,125,37.50835555555555,126.67679722222223
2826056000,인천광역시,서구,석남2동,55,125,37.49981111111112,126.67669722222224
2826056100,인천광역시,서구,석남3동,55,125,37.50541944444444,126.680375
2826057500,인천광역시,서구,신현원창동,55,125,37.51179722222222,126.67435277777778
2826058000,인천광역시,서구,가좌1동,55,125,37.49111388888889,126.67509722222222
2826059000,인천광역시,서구,가좌2동,55,125,37.48805,126.68695277777778
2826060000,인천광역시,서구,가좌3동,55,125,37.48965277777778,126.6818777777778
2826061000,인천광역시,서구,가좌4동,55,125,37.48462222222222,126.68568611111112
2826068000,인천광역시,서구,검단동,54,127,37.59938055555556,126.663375
2826069000,인천광역시,서구,불로대곡동,55,128,37.61436111111112,126.69097777777776
2826070000,인천광역시,서구,원당동,55,127,37.59111388888889,126.69984444444444
2826071000,인천광역시,서구,당하동,55,127,37.59117222222223,126.67731111111112
2826072000,인천광역시,서구,오류왕길동,54,127,37.597691,126.637152
2826073000,인천광역시,서구,마전동,54,127,37.5929616,126.6613294
2826074000,인천광역시,서구,아라동,55,127,37.594,126.7156
2871025000,인천광역시,강화군,강화읍,51,131,37.74554166666667,126.48559722222222
