latitude,link_id,longitude
37.423832,1640324601,126.687325
37.417595,1640021301,126.67446
37.417595,1640021301,126.67446
37.453842,1650060000,126.71452
37.468723,1650010100,126.70785
37.47231,1660007800,126.703285
37.466152,1650021900,126.707245
37.46483,1650069900,126.704796
37.4171,1640278100,126.67762
37.419575,1640025800,126.69563
37.418125,1640025600,126.69368
37.41844,1640025500,126.693054
37.422813,1640040400,126.6911
37.422993,1640324901,126.689674
37.4569,1650064700,126.708626
37.55468,1680087800,126.62513
37.49882,1680025602,126.66152
37.48308,1620010301,126.65933
37.47735,1630004900,126.65397
37.467243,1630046500,126.66599
37.470814,1630050600,126.67721
37.518745,1680043500,126.66899
37.513786,1680040500,126.664116
37.537594,1680085301,126.66036
37.537636,1680284600,126.66151
37.525105,1670150500,126.69446
37.52632,1670151100,126.696785
37.530556,1670014902,126.72022
37.542244,1670024500,126.72015
37.547554,1670030700,126.73751
37.569717,1670032013,126.73967
37.553577,1670226301,126.74509
37.54489,1670029500,126.72102
37.529037,1670011200,126.73033
37.530724,1670013900,126.7402
37.532024,2420059401,126.77377
37.58703,2320000803,126.792595
37.587124,2320000803,126.79245
37.43146,1650005400,126.7395
37.43279,1650004100,126.73801
37.43284,1650004100,126.73603
37.433506,1650004500,126.72434
37.43359,1650004500,126.723
37.433792,1650004500,126.71912
37.499203,1680032305,126.65981
37.44394,1630011702,126.650276
37.44008,1630014302,126.699875
37.576897,1680051105,126.66332
37.524593,1680268300,126.66946
37.51362,1680040500,126.66817
37.542812,1680046900,126.67254
37.552654,1680050902,126.65424
37.533653,1680425000,126.65256
37.536793,1680085401,126.659706
37.468563,1660000102,126.69918
37.443153,1650050200,126.7041
37.47893,2420073700,126.774994
37.433872,1650005000,126.717995
37.414597,1640318700,126.62055
37.465176,1630043600,126.68989
37.46788,1630048800,126.67956
37.418903,1640029900,126.67907
37.47783,1680494200,126.68593
37.418056,1640021900,126.67834
37.44897,1630024000,126.649956
37.404613,1640011900,126.677414
37.39759,1640141100,126.65213
37.433605,1640001500,126.647125
37.428474,1640052301,126.65474
37.40984,1640014400,126.68488
37.41833,1640027300,126.64986
37.42194,1640037100,126.65277
37.441296,1630167400,126.70257
37.441204,1630167400,126.70255
37.4413,1630167400,126.702576
37.45291,1650058201,126.701515
37.382744,1640147300,126.65722
37.40329,1640243800,126.65671
37.40329,1640243800,126.65671
37.454853,1630032500,126.65284
37.46187,1630009900,126.67183
37.447342,1630020101,126.65306
37.506943,1610175400,126.527565
37.508617,1610196900,126.52548
37.5703,1680008601,126.66768
37.491013,2420009600,126.74646
37.468918,1650071601,126.68792
37.426003,1640049100,126.69865
37.460144,1630009600,126.64058
37.448612,1630024500,126.660805
37.44298,1630019700,126.67874
37.431633,1640050201,126.69843
37.42227,1650044600,126.71494
37.42227,1650044600,126.71511
37.407032,2240907201,126.77509
37.406715,1640012400,126.674484
37.40177,1650028602,126.68256
37.43844,1630013002,126.68562
37.441383,1630016500,126.66801
37.389534,2240905501,126.74769
37.389534,2240905501,126.74769
37.42337,1640324901,126.68867
37.458588,1650008402,126.727875
37.438923,1630013700,126.69759
37.420937,1640035900,126.69681
37.416584,1650039102,126.70546
37.438953,1630013902,126.69468
37.46528,1630043600,126.6899
37.472107,1660004700,126.690994
37.461143,1630038900,126.647675
37.441822,1630011701,126.649635
37.426346,1640049401,126.64897
37.439964,1630053103,126.661514
37.423862,1640043800,126.66891
37.420437,1640033703,126.671234
37.42399,1640043900,126.66872
37.474743,1660000301,126.689674
37.38733,1640128400,126.64719
37.375202,1640105600,126.639366
37.420765,1640034000,126.69683
37.419567,1640025800,126.69564
37.452374,1650057302,126.70812
37.420372,1640030000,126.68955
