No,latitude,link_id,longitude,경도,지번주소,도로명주소
99,37.584435,1680215900,126.578255,,?,?
100,37.58741,1680215800,126.57603,,?,?
101,37.5932,2320554601,126.57014,,?,?
102,37.5932,2320554601,126.57014,,?,?
119,37.58719,1680215800,126.57619,,?,?
120,37.585438,1680215900,126.57757,,?,?
121,37.585163,1680215900,126.577774,,?,?
