date,region_id,daily
2021-07-03,2307052.0,0.0
2021-07-03,2307057.0,21583.0
2021-07-03,2307058.0,32347.0
2021-07-03,2307061.0,49405.0
2021-07-03,2308051.0,44477.0
2021-07-03,2308053.0,0.0
2021-07-03,2308054.0,0.0
2021-07-03,2308055.0,0.0
2021-07-03,2308056.0,39319.0
2021-07-03,2308062.0,41248.0
2021-07-03,2308064.0,78132.0
2021-07-03,2308065.0,48572.0
2021-07-03,2308073.0,0.0
2021-07-03,2308079.0,32.0
2021-07-03,2308080.0,0.0
2021-07-03,2308081.0,0.0
2021-07-03,2308084.0,0.0
2021-07-03,2308085.0,0.0
2021-07-03,2308086.0,25231.0
2021-07-03,2309056.0,19001.0
2021-07-03,2309059.0,19175.0
2021-07-03,2309062.0,24379.0
2021-07-03,2309065.0,35904.0
2021-07-03,2309066.0,101827.0
2021-07-03,2309067.0,13525.0
2021-07-03,2309068.0,17281.0
2021-07-03,2309070.0,45354.0
2021-07-03,2309071.0,34731.0
2021-07-03,2309072.0,38908.0
2021-07-03,2309073.0,21721.0
2021-07-03,2309075.0,23335.0
2021-07-03,2331031.0,10891.0
2021-07-03,2331038.0,20592.0
2021-07-04,2301063.0,10084.0
2021-07-04,2301064.0,18496.0
2021-07-04,2301066.0,3286.0
2021-07-04,2304052.0,196133.0
2021-07-04,2304053.0,13025.0
2021-07-04,2304054.0,49302.0
2021-07-04,2304057.0,18400.0
2021-07-04,2304058.0,44773.0
2021-07-04,2304059.0,44326.0
2021-07-04,2305051.0,81725.0
2021-07-04,2305052.0,47968.0
2021-07-04,2305053.0,38260.0
2021-07-04,2305054.0,19401.0
2021-07-04,2305056.0,12469.0
2021-07-04,2305057.0,5504.0
2021-07-04,2305058.0,17741.0
2021-07-04,2305062.0,2731.0
2021-07-04,2305064.0,26062.0
2021-07-04,2305067.0,75386.0
2021-07-04,2305072.0,30170.0
2021-07-04,2305073.0,19168.0
2021-07-04,2305074.0,28585.0
2021-07-04,2305075.0,117068.0
2021-07-04,2306058.0,10183.0
2021-07-04,2306060.0,10055.0
2021-07-04,2306065.0,13621.0
2021-07-04,2306068.0,49401.0
2021-07-04,2306069.0,49195.0
2021-07-04,2306070.0,63913.0
2021-07-04,2306071.0,33767.0
2021-07-04,2307052.0,0.0
2021-07-04,2307057.0,12661.0
2021-07-04,2307058.0,21025.0
2021-07-04,2307061.0,22752.0
2021-07-04,2308051.0,33100.0
2021-07-04,2308053.0,0.0
2021-07-04,2308054.0,0.0
2021-07-04,2308055.0,0.0
2021-07-04,2308056.0,30805.0
2021-07-04,2308062.0,21451.0
2021-07-04,2308064.0,42839.0
2021-07-04,2308065.0,24585.0
2021-07-04,2308073.0,0.0
2021-07-04,2308079.0,34.0
2021-07-04,2308080.0,0.0
2021-07-04,2308081.0,0.0
2021-07-04,2308084.0,0.0
2021-07-04,2308085.0,0.0
2021-07-04,2308086.0,19064.0
2021-07-04,2309056.0,11956.0
2021-07-04,2309059.0,6653.0
2021-07-04,2309062.0,14793.0
2021-07-04,2309065.0,19317.0
2021-07-04,2309066.0,79657.0
2021-07-04,2309067.0,13450.0
2021-07-04,2309068.0,18533.0
2021-07-04,2309070.0,38357.0
2021-07-04,2309071.0,12686.0
2021-07-04,2309072.0,33016.0
2021-07-04,2309073.0,17741.0
2021-07-04,2309075.0,7566.0
2021-07-04,2331031.0,8831.0
2021-07-04,2331038.0,8648.0
2021-07-05,2301063.0,31942.0
2021-07-05,2301064.0,29099.0
2021-07-05,2301066.0,2193.0
2021-07-05,2304052.0,278913.0
2021-07-05,2304053.0,18861.0
2021-07-05,2304054.0,157419.0
2021-07-05,2304057.0,42525.0
2021-07-05,2304058.0,122664.0
2021-07-05,2304059.0,67008.0
2021-07-05,2305051.0,148690.0
2021-07-05,2305052.0,93793.0
