latitude,longitude,date,region_id
37.476826,126.709854,2021-09-11,2305057
37.389893,126.643555,2021-09-10,2304066
37.40244,126.65631,2021-09-10,2304057
37.412113,126.66276,2021-09-10,2304057
37.416733,126.66563,2021-09-10,2304056
37.42769,126.66275,2021-09-10,2304056
37.409725,126.64915,2021-09-10,2304057
37.42611,126.65124,2021-09-10,2304060
37.426876,126.65602,2021-09-10,2304051
37.426857,126.65601,2021-09-10,2304051
37.454857,126.73281,2021-09-10,2305059
37.417316,126.67203,2021-09-10,2304056
37.401634,126.72413,2021-09-10,2305073
37.465847,126.68982,2021-09-10,2309069
37.465843,126.68976,2021-09-10,2309069
37.450405,126.624985,2021-09-10,2301052
37.464214,126.67259,2021-09-10,2309062
37.464996,126.66537,2021-09-10,2309062
37.452465,126.647995,2021-09-10,2309057
37.442413,126.649826,2021-09-10,2309060
37.474903,126.678474,2021-09-10,2308064
37.462387,126.64192,2021-09-10,2309075
37.459286,126.63108,2021-09-10,2301054
37.415714,126.62352,2021-09-10,2304069
37.4021,126.65601,2021-09-10,2304057
37.40291,126.65657,2021-09-10,2304057
37.40387,126.65721,2021-09-10,2304057
37.41696,126.672646,2021-09-10,2304056
37.416885,126.67278,2021-09-10,2304056
37.43221,126.766365,2021-09-10,2305075
37.43149,126.76591,2021-09-10,2305075
37.422947,126.70141,2021-09-10,2304052
37.42302,126.700485,2021-09-10,2304052
37.422993,126.69333,2021-09-10,2304055
37.423393,126.68877,2021-09-10,2304055
37.423393,126.68877,2021-09-10,2304055
37.418068,126.67837,2021-09-10,2304054
37.41754,126.67789,2021-09-10,2304054
37.423218,126.69972,2021-09-10,2304052
37.40221,126.694664,2021-09-10,2305074
37.45859,126.72788,2021-09-10,2305063
37.458664,126.72778,2021-09-10,2305063
37.403,126.67081,2021-09-10,2304058
37.42321,126.673996,2021-09-10,2304053
37.445023,126.75973,2021-09-10,2305075
37.447258,126.748085,2021-09-10,2305075
37.46428,126.70818,2021-09-10,2305056
37.452538,126.708244,2021-09-10,2305051
37.413666,126.68936,2021-09-10,2304054
37.41302,126.67616,2021-09-10,2304054
37.40862,126.70048,2021-09-09,2305073
37.408566,126.70267,2021-09-09,2305073
37.389767,126.68671,2021-09-09,2305074
37.382717,126.65718,2021-09-09,2304064
37.402287,126.65609,2021-09-09,2304057
37.41794,126.649994,2021-09-09,2304051
37.42749,126.66339,2021-09-09,2304056
37.47013,126.690315,2021-09-09,2305058
37.47305,126.68423,2021-09-09,2308064
37.48077,126.68833,2021-09-09,2308065
37.480217,126.68893,2021-09-09,2308065
37.4261,126.69905,2021-09-09,2304052
37.416145,126.65683,2021-09-09,2304057
37.427288,126.66058,2021-09-09,2304056
37.41664,126.67314,2021-09-09,2304056
37.52408,126.69219,2021-09-09,2307052
37.420906,126.6968,2021-09-09,2304055
37.460487,126.68019,2021-09-09,2309065
37.460487,126.68019,2021-09-09,2309065
37.430943,126.6462,2021-09-09,2304060
37.43232,126.64659,2021-09-09,2304060
37.37294,126.66707,2021-09-09,2304065
37.401737,126.69536,2021-09-09,2305074
37.401737,126.69536,2021-09-09,2305074
37.41855,126.70784,2021-09-09,2305067
37.44312,126.7041,2021-09-09,2305053
37.460415,126.68019,2021-09-09,2309065
37.448593,126.69623,2021-09-09,2305053
37.457863,126.689125,2021-09-09,2309068
37.464237,126.6733,2021-09-09,2309062
37.442467,126.692,2021-09-09,2309073
37.451195,126.682816,2021-09-09,2309072
37.4388,126.70554,2021-09-09,2305053
37.44075,126.698395,2021-09-09,2309073
37.44619,126.70061,2021-09-09,2305053
37.413647,126.689316,2021-09-09,2304054
37.413647,126.689316,2021-09-09,2304054
37.38704,126.66174,2021-09-09,2304065
37.381786,126.65667,2021-09-09,2304065
37.399925,126.65618,2021-09-09,2304064
37.40331,126.656746,2021-09-09,2304057
37.38455,126.70261,2021-09-09,2305074
37.397907,126.73777,2021-09-09,2305072
37.425545,126.73742,2021-09-08,2305067
37.404823,126.739685,2021-09-08,2305072
37.423187,126.698425,2021-09-08,2304052
37.422935,126.69322,2021-09-08,2304055
37.447357,126.65252,2021-09-08,2309060
