district,flood_area,longitude,latitude
남구,용현동 고속도로 종점,126.63399643354994,37.45414345870855
연수구,동춘동 대건고등학교 주변,126.65742449526145,37.406142297482205
연수구,청학동 동도아파트 주변,126.66657832800662,37.42509962211612
남구,숭의1동 둑갑다리 주변,126.64403061437524,37.46406228453243
남구,숭의1동 남부역 주변,126.64641114987816,37.45758774359254
남구,용현5동 고속도로 종점,126.6411649886189,37.45447862383157
남구,용현1동 용일초교 주변,126.6624011628338,37.4522180129471
남구,주안7동 남부초교 주변,126.67968474800193,37.44821720533458
남구,주안2동 신기사거리 주변,126.68769772123463,37.45601180683981
남구,도화1동 도화IC 인근,126.67354925461142,37.46253639696292
남구,도화1동 경인전철 주변,126.67310009786767,37.468846524494666
남구,주안5동 주안역 주변,126.68550583194137,37.46871818822384
서구,가좌4동 가정여중 주변,126.68915299109655,37.486683122242795
서구,석남3동 석남중학교 인근,126.67761862284846,37.50383845286428
서구,연희동 서곶초교 인근,126.67580402597456,37.54851503057421
부평구,"십정1·2동 장수로 주변",126.69423745650299,37.47354490627009
부평구,부평5동 굴다리오거리,126.73325128839397,37.49110953197539
부평구,부개1동 부개초교 인근,126.7383447351566,37.484330817110234
부평구,산곡3동 산곡여중 주변,126.7047118118175,37.49679006318302
부평구,부평1동 백마장 주변,126.72124081304531,37.5056913063352
부평구,부개3동 신트리공원 인근,126.73024193129386,37.50835648413963
계양구,서운동 서운초교 주변,126.74417480224888,37.52901194765919
계양구,계산2동 안산초교 주변,126.73248771950415,37.54651367077829
부평구,"부평2·6동 남초교 인근",126.72128572880952,37.489242060983145
부평구,갈산1동 갈산역 인근,126.723181174059,37.516871588303474
중구,신포동 공보관 인근,126.62516599340873,37.47149875880895
중구,동인천역 인근,126.6311577563538,37.47515611941748
동구,송현동 중앙시장 인근,126.63675426057387,37.47238281505069
남동구,동암역 남광장 입구 인근,126.70498130730108,37.467156745235016
계양구,작전동 작전우체국 인근,126.7297029430217,37.529681604822386
남구,주안4동 동양장사거리,126.69159640866935,37.452282195271046
