title,author,publisher,date,price,rating
"南島植物學,民俗學の泰斗 田代安定",名越 護 저,南方新社,2017년 03월,"36,390",X
面白くて眠れなくなる植物學,稻垣 榮洋 저,PHP硏究所,2021년 02월,"9,610",X
オックスフォ-ド 植物學辭典 新裝版,駒嶺 穆 監譯 M.アラビ- 편,朝倉書店,2021년 09월,"140,370",X
ボタニスト パリの標本館を築いた植物學者,M.ジャンソン 저C.フォ-ヴ 편,タイプショップ,2020년 10월,"23,390",X
植物のたくらみ 香りと色の植物學,有村 源一郞 저西原 昌宏 저,ベレ出版,2018년 04월,"19,490",X
面白くて眠れなくなる植物學,이나가키 히데히로 저,PHPエディタ,2016년 05월,"16,890",X
生藥單 改訂第3版~語源から覺える植物學,伊藤 美千穗 감수北山 隆 감수,丸善雄松堂,2017년 12월,"49,390",X
植物學「超」入門 ,다나카 오사무 저,SBクリエイテ,2016년 03월,"14,290",X
藥用植物學 改訂第7版,"水野 瑞夫 감수,木村 孟淳 他編集",南江堂,2013년 08월,"40,000",X
牧野富太郞 日本植物學の父,淸水 洋美 文 里美 和彦 繪 저,汐文社,2020년 07월,"20,790",X
食卓を變えた植物學者,D.スト-ン 저三木 直子 역,築地書館,2021년 04월,"37,690",X
식물 학습 도감 ,윤주복 저,진선아이,2013년 10월,"37,800",9.6
식물 학교에 오세요!,"김성화, 권수진 공저 / 이민하 그림",북멘토,2006년 12월,"6,300",10.0
접이식 물통(지름9.5cm)/어린이날선물 학원판촉,X,X,X,"4,070",X
동물이랑 식물이 같다고요?!,노정임 글/안경자 그림/이정모 감수,현암사,2013년 02월,"11,700",X
커다란 나무 같은 사람,이세 히데코 글그림,청어람미디어,2010년 05월,"9,900",9.6
꽃은 알고 있다,퍼트리샤 윌트셔 저/김아림 역,웅진지식하우스,2019년 12월,"14,850",9.6
The Drunken Botanist,Amy Stewart,Timber Press,2013년 05월,"30,750",X
Murder Most Florid,마크 스펜서 저,QUADRILLE,2019년 11월,"27,510",X
The Drunken Botanist,"Amy Stewart,Coleen Marlo (NRT)",Highbridge Company,2013년 03월,"55,040",X
The Drunken Botanist: The Plants That Create the World's Great Drinks,Amy Stewart,Algonquin Books of Chapel Hill,2013년 03월,"32,210",X
식물이라는 우주,안희경 저,시공사,2021년 03월,"20,700",9.4
사계절 꽃 종이접기 산책,마블 플래닝 저,혜지원,2021년 07월,"10,800",X
그 산 그 꽃,유기억 저,황소걸음,2022년 04월,"15,000",9.2
식물과학 Online ,이유성 편저,우성문화사,2006년 08월,"25,000",X
[멜리사앤더그] 꽃 모양 돋보기,"멜리사앤더그, 돋보기, 식물학습",멜리사앤더그,X,"15,000",X
[멜리사앤더그] 꽃 모양 돋보기,"멜리사앤더그, 돋보기, 식물학습",멜리사앤더그,X,"15,000",X
일상 속 숨어 있는 생물학 이야기,"사마키 다케오, 아오노 히로유키 편저/김정환 역",예문아카이브,2021년 09월,"11,700",9.7
식물이라는 우주,안희경 저,시공사,2021년 04월,"16,000",X
보따니스트,"마르 장송, 샤를로트 포브 저/박태신 역/정수영 감수",도서출판가지,2021년 09월,"16,200",9.0
생명 곁에 앉아 있는 죽음,이나가키 히데히로 저/노만수 역,살림출판사,2020년 09월,"13,500",10.0
사소하지만 중요한 남극이 품은 작은 식물 이야기,김지희 저,지오북,2020년 03월,"14,250",X
꽃은 알고 있다,퍼트리샤 윌트셔 저/김아림 역,웅진지식하우스,2019년 12월,"11,600",8.5
보따니스트,"마르 장송, 샤를로트 포브 저/박태신 역/정수영 감수",도서출판가지,2021년 11월,"14,400",X
비교하며 배우는 생물학+식물분류+동물분류+화학의 기초개념 시리즈세트/전4권/우주랑사람이같다고요.동물은뼈부터다르다고요.동물이랑식물이같다고요.식물은떡잎부터다르다고요.,노정임 글 / 안경자 그림 / 이정모 감수 외,현암사(전집),2013년 02월,"44,100",X
비교하며 배우는 기초 시리즈 1~4 세트 (전4권) : 생물학/식물/동물/화학,"노정임 지음,안경자 그림,이정모 감수",현암사(전집),2018년 02월,"44,100",X
어디에서 왔을까? 채소의 식물학,모리구치 미쓰루 글그림 / 이진원 역 / 유영한 감수,봄나무,2016년 05월,"10,800",X
신.약품식물학,약품식물학분과회,학창사,1999년 03월,"19,000",X
어린이를 위한 식물학,지니 K. 풀브라이트 저 / 명지대학교 창조과학연구소 역,명지대학교출판부,2007년 02월,"18,000",X
어디에서 왔을까? 과일의 비밀+곡식의 지혜+채소의 식물학 세트(전3권)-세밀화로 보는 한살이도감,모리구치 미쓰루 글그림 / 이진원 역 / 유영한 감수,봄나무(전집),2016년 03월,"32,400",X
일반 식물학,서봉보 외 공역,월드사이언스,2005년 03월,"30,000",X
2017 EBS PEET·MEET·DEET 핵심생물학 진화 분류 식물학 생태학,서가영 편저,자연과과학,2016년 04월,"18,000",8.0
욕망의 식물학,마이클 폴란 저/이창신 역/최재천 감수,서울문화사,2002년 01월,"10,800",7.6
어디에서 왔을까? 세트(전5권)/과일의비밀.곡식의지혜.채소의식물학.밥상위뼈탐험.진화의비밀,모리구치 미쓰루 글 외,봄나무(전집),2016년 03월,"54,000",X
Perfectica 생물학총론 6th 식물학·생태학,강치욱 저,에코에티카(ECOETHICA),2014년 02월,"11,700",X
지피식물학,방광자 저,조경,2009년 08월,"16,200",X
최신 자생식물학,"이정식, 윤평섭 공저",대선,2002년 08월,"20,000",X
