No,store,address,phone,address2,addr3,경도,위도,상태
1,현대자동차여의도점,서울시 영등포구 국제금융로 20 1층  ,02-783-3391,서울특별시 영등포구 국제금융로 20 1층,서울특별시 영등포구 국제금융로 20 1층,126.927296852199,37.5248867322232,정좌표
2,포스코사거리점,서울시 강남구 테헤란로 439  ,02-508-7522 ,서울특별시 강남구 테헤란로 439,서울특별시 강남구 테헤란로 439,127.055187160389,37.5068291374803,정좌표
3,선릉로93길점,서울시 강남구 선릉로93길 6(역삼동) 1층  ,02-552-3177,서울특별시 강남구 선릉로93길 6(역삼동) 1층,서울특별시 강남구 선릉로93길 6(역삼동) 1층,127.04789977893,37.5056859496249,정좌표
4,강남역먹자골목점,서울시 강남구 테헤란로1길 29 1층일부 및 2.3층  ,02-552-6311,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,서울특별시 강남구 테헤란로1길 29 1층일부 및 2.3층,127.027287864031,37.5001069774915,정좌표
5,삼성로점,"서울시 강남구 삼성로 551 1층,2층  ",02-552-9311 ,"서울특별시 강남구 삼성로 551 1층,2층","서울특별시 강남구 삼성로 551 1층,2층",127.05415001098,37.510710081216,정좌표
6,서초우성아파트앞점,서울시 서초구 사임당로 171(서초동) EWR빌딩 2층  ,02-522-7158 ,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층,서울특별시 서초구 사임당로 171(서초동) EWR빌딩 2층,127.02834893917,37.4927280050192,정좌표
7,선릉로86길점,서울시 강남구 선릉로86길 11  ,02-2051-8875,서울특별시 강남구 선릉로86길 11,서울특별시 강남구 선릉로86길 11,127.050587148513,37.503404590073,정좌표
8,안국역점,"서울시 종로구 율곡로 47 1,2층  ",02-722-3356 ,"서울특별시 종로구 율곡로 47 1,2층","서울특별시 종로구 율곡로 47 1,2층",126.984586388974,37.5763359379244,정좌표
9,뉴교보타워옆점,"서울시 서초구 강남대로 449-3 알고코리아빌딩 1,2층  ",02-591-5177,"서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층","서울특별시 서초구 강남대로 449-3 알고코리아빌딩 1,2층",127.024882913173,37.5023609106001,정좌표
10,IFC MALL2호점,서울시 영등포구 국제금융로10 IFC B2층  ,02-6137-5054  ,서울특별시 영등포구 국제금융로10 IFC B2층,서울특별시 영등포구 국제금융로10 IFC B2층,126.924876307992,37.5251769222148,정좌표
11,상암SBS미디어센터점,서울시 마포구 상암산로 82 SBS프리즘타워 1층  ,02-2039-9027 ,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,서울특별시 마포구 상암산로 82 SBS프리즘타워 1층,126.892773578356,37.5797154609033,정좌표
12,마리오아울렛점,서울시 금천구 디지털로9길 23 마리오-2관 패션타워3층  ,02-857-5501  ,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,서울특별시 금천구 디지털로9길 23 마리오-2관 패션타워3층,126.886477005838,37.4787205761734,정좌표
13,삼성금융플라자점,서울 강남구 테헤란로 419 삼성금융플라자1층  ,02-554-7591,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,서울특별시 강남구 테헤란로 419 삼성금융플라자1층,127.052180422247,37.5058701786087,정좌표
14,명동나인트리호텔점,서울시 중구 명동10길 51 나인트리호텔 본관2층  ,02-771-9935 ,서울특별시 중구 명동10길 51 나인트리호텔 본관2층,서울특별시 중구 명동10길 51 나인트리호텔 본관2층,126.98602123207,37.5615905732794,정좌표
15,이태원점,서울시 용산구 이태원로 189   ,02-794-3361,서울특별시 용산구 이태원로 189,서울특별시 용산구 이태원로 189,126.994922855012,37.5348701565935,정좌표
16,뉴가로수길점,서울시 강남구 압구정로12길 6  ,02-544-7105,서울특별시 강남구 압구정로12길 6,서울특별시 강남구 압구정로12길 6,127.022319084257,37.5235324489933,정좌표
17,서초뱅뱅사거리점,"서울시 서초구 강남대로 267 2,3층  ",02-523-8841 ,"서울특별시 서초구 강남대로 267 2,3층","서울특별시 서초구 강남대로 267 2,3층",127.032337237569,37.4871700283489,정좌표
18,현대자동차성내점,"서울시 강동구 천호대로 1096 1,2F  ",02-485-3361 ,"서울특별시 강동구 천호대로 1096 1,2F","서울특별시 강동구 천호대로 1096 1,2F",127.13322900494,37.5351970918345,정좌표
19,신림점,서울시 관악구 신림로 318 청암두산위브센티움1층  ,02-877-1194  ,서울특별시 관악구 신림로 318 청암두산위브센티움1층,서울특별시 관악구 신림로 318 청암두산위브센티움1층,126.93025254193,37.4825745045369,정좌표
20,수원인계점,경기도 수원시 팔달구 권광로 195 학산빌딩1층   ,031-233-5631,경기도 수원시 팔달구 권광로 195 학산빌딩1층,경기도 수원시 팔달구 권광로 195 학산빌딩1층,127.032685123269,37.2649469302803,정좌표
21,판교아브뉴프랑점,경기도 성남시 분당구 동판교로177번길 25  ,031-8016-8131,경기도 성남시 분당구 동판교로177번길 25,경기도 성남시 분당구 동판교로177번길 25,127.113562077843,37.3973210308099,정좌표
22,일산원마운트점,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층  ,031-961-6520,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층,126.754526495126,37.6645540407119,정좌표
23,명동성당앞점,"서울시 중구 명동길 73 1,2층  ",02-777-3363,"서울특별시 중구 명동길 73 1,2층","서울특별시 중구 명동길 73 1,2층",126.98616283235,37.5642614320369,정좌표
24,울산현대백화점점,울산광역시 남구 삼산로 261 현대백화점5층  ,052-228-0560,울산광역시 남구 삼산로 261 현대백화점5층,울산광역시 남구 삼산로 261 현대백화점5층,129.335812196651,35.5395695989777,정좌표
25,대구중앙로점,대구광역시 중구 중앙대로 412-18  ,053-428-3370,대구광역시 중구 중앙대로 412-18,대구광역시 중구 중앙대로 412-18,128.594865362452,35.8697682456147,정좌표
26,여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층  ,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층,126.924586233201,37.5225165232988,정좌표
27,상봉엔터식스점,서울시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층  ,02-437-8891,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층,127.091624150825,37.5983330109699,정좌표
28,여의도렉싱턴호텔옆점,서울시 영등포구 국회대로74길19 동우국제빌딩1층  ,02-782-3358,서울특별시 영등포구 국회대로74길19 동우국제빌딩1층,서울특별시 영등포구 국회대로74길19 동우국제빌딩1층,126.921969458018,37.5298215412302,정좌표
29,목동트라팰리스점,서울시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층  ,02-2643-7725,서울특별시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층,서울특별시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층,126.871156740687,37.5254292207945,정좌표
30,압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층  ,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층,서울특별시 강남구 압구정로29길65 지하1층,127.027002952614,37.5318110419614,정좌표
31,역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층  ,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층,서울특별시 강남구 테헤란로143 고운빌딩1층,127.034898599569,37.5006205863929,정좌표
32,시청역7번출구점,서울시 중구 세종대로84 2층  ,02-754-8852,서울특별시 중구 세종대로84 2층,서울특별시 중구 세종대로84 2층,126.977179320115,37.5636631556404,정좌표
33,부평문화의거리점,"인천광역시 부평구 시장로29 1,2층  ",032-507-9901,"인천광역시 부평구 시장로29 1,2층","인천광역시 부평구 시장로29 1,2층",126.725615197669,37.4936732728416,정좌표
34,강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층   ,02-565-3345,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,서울특별시 강남구 강남대로442 흥국화재빌딩 2층,127.026056469747,37.5020648416418,정좌표
35,구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층  ,02-6344-3966,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층,126.896538336268,37.4849264034815,정좌표
36,내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층  ,02-592-8861,서울특별시 서초구 방배로178 유중아트센터1층,서울특별시 서초구 방배로178 유중아트센터1층,126.992842846351,37.4895433365524,정좌표
37,오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층  ,031-715-5638,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층,127.106685859348,37.3416110413247,정좌표
38,도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층  ,02-551-6456 ,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층,127.05944328574,37.5096324488702,정좌표
39,타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층  ,02-2635-8830,서울특별시 영등포구 영중로15 타임스퀘어 1층,서울특별시 영등포구 영중로15 타임스퀘어 1층,126.904378385907,37.5168718599251,정좌표
40,차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층  ,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층,서울특별시 강남구 봉은사로207 KJ타워1층,127.034662873275,37.5078407094537,정좌표
41,엔터식스한양대점,서울시 성동구 왕십리로241 서울숲더샵 판매시설201동 지하2층  ,02-6454-6216,서울특별시 성동구 왕십리로241 서울숲더샵 판매시설201동 지하2층,서울특별시 성동구 왕십리로241 서울숲더샵 판매시설201동 지하2층,127.040288063584,37.5558304652089,정좌표
42,CBTL(커피빈)파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층  ,02-538-2008 ,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,서울특별시 강남구 테헤란로521 파르나스몰 지하1층,127.0608071942,37.5091913556529,정좌표
43,광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부  ,02-723-3360,서울특별시 종로구 새문안로5가길 7 1층 일부,서울특별시 종로구 새문안로5가길 7 1층 일부,126.974038260547,37.5727708294215,정좌표
44,현대프리미엄아울렛김포점,경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호  ,031-8048-2618,경기도 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호,경기도 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호,126.785601632003,37.5993968359792,정좌표
45,여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층  ,02-782-1125,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층,126.929697585274,37.5218088772782,정좌표
46,이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층  ,02-792-3560,서울특별시 용산구 이태원로220(한남동) 1층,서울특별시 용산구 이태원로220(한남동) 1층,126.998483631272,37.5348177308828,정좌표
