humidity
84.00
78.00
94.00
91.00
90.00
88.00
95.00
66.00
94.00
79.00
68.00
61.00
68.00
100.00
100.00
86.00
88.00
94.00
100.00
98.00
86.00
90.00
59.00
87.00
100.00
83.00
69.00
99.00
70.00
65.00
78.00
93.00
99.00
86.00
78.00
94.00
93.00
87.00
52.00
61.00
98.00
81.00
98.00
92.00
68.00
91.00
98.00
98.00
97.00
91.00
86.00
80.00
80.00
90.00
96.00
94.00
98.00
96.00
99.00
94.00
98.00
97.00
98.00
84.00
80.00
78.00
90.00
98.00
83.00
83.00
84.00
96.00
98.00
98.00
98.00
95.00
88.00
83.00
78.00
67.00
70.00
87.00
87.00
98.00
98.00
98.00
98.00
96.00
92.00
97.00
91.00
90.00
67.00
98.00
93.00
58.00
77.00
92.00
97.00
89.00
61.00
98.00
91.00
79.00
99.00
99.00
70.00
91.00
87.00
64.00
60.00
94.00
92.00
85.00
76.00
63.00
64.00
69.00
82.00
85.00
98.00
90.00
94.00
100.00
100.00
100.00
100.00
100.00
97.00
72.00
88.00
62.00
77.00
100.00
79.00
100.00
94.00
85.00
58.00
88.00
64.00
82.00
85.00
100.00
100.00
93.00
100.00
100.00
100.00
70.00
94.00
100.00
99.00
89.00
86.00
100.00
100.00
100.00
64.00
95.00
93.00
92.00
96.00
98.00
75.00
99.00
95.00
100.00
100.00
96.00
100.00
100.00
98.00
90.00
94.00
75.00
95.00
97.00
82.00
98.00
97.00
100.00
67.00
100.00
73.00
100.00
77.00
96.00
93.00
100.00
81.00
92.00
99.00
100.00
100.00
78.00
71.00
71.00
91.00
90.00
92.00
100.00
95.00
100.00
100.00
98.00
88.00
86.00
99.00
78.00
71.00
82.00
100.00
98.00
58.00
96.00
99.00
92.00
100.00
100.00
100.00
98.00
92.00
100.00
100.00
99.00
98.00
99.00
100.00
98.00
100.00
100.00
88.00
100.00
100.00
100.00
100.00
100.00
81.00
92.00
90.00
89.00
92.00
100.00
100.00
100.00
100.00
100.00
100.00
100.00
86.00
100.00
100.00
100.00
92.00
100.00
100.00
95.00
98.00
100.00
100.00
99.00
100.00
98.00
100.00
100.00
100.00
98.00
100.00
100.00
93.00
100.00
86.00
96.00
100.00
100.00
95.00
92.00
94.00
99.00
100.00
93.00
90.00
95.00
89.00
95.00
94.00
91.00
95.00
95.00
92.00
88.00
90.00
96.00
97.00
100.00
94.00
97.00
100.00
100.00
100.00
100.00
100.00
100.00
97.00
90.00
92.00
93.00
90.00
79.00
85.00
90.00
96.00
86.00
90.00
97.00
95.00
97.00
95.00
99.00
97.00
96.00
98.00
92.00
97.00
95.00
95.00
98.00
98.00
97.00
96.00
92.00
90.00
86.00
84.00
88.00
98.00
88.00
94.00
90.00
81.00
79.00
90.00
85.00
98.00
85.00
90.00
98.00
99.00
89.00
91.00
85.00
87.00
90.00
90.00
99.00
99.00
79.00
100.00
75.00
73.00
98.00
99.00
99.00
95.00
