date,humidity,wind_speed,temperature,precipitation,region_id
2021-04-12,81.58,2.51,12.23,29.00,2304053
2021-04-13,62.33,3.18,8.11,0.00,2304053
2021-04-14,62.00,1.88,8.90,0.00,2304053
2021-04-15,58.62,1.67,11.13,0.00,2304053
2021-04-16,75.75,1.60,9.42,1.00,2304053
2021-04-17,56.12,3.37,9.65,0.00,2304053
2021-04-18,66.67,1.92,9.50,0.00,2304053
2021-04-19,71.58,1.80,11.64,0.00,2304053
2021-04-20,55.04,1.22,13.65,0.00,2304053
2021-04-21,37.88,1.60,19.19,0.00,2304053
2021-04-22,36.62,1.73,20.10,0.00,2304053
2021-04-23,35.04,1.67,19.50,0.00,2304053
2021-04-24,59.12,1.70,15.95,0.00,2304053
2021-04-25,47.83,2.14,17.51,0.00,2304053
2021-04-26,63.79,1.42,14.65,0.00,2304053
2021-04-27,70.46,1.85,14.07,3.50,2304053
2021-04-28,70.96,1.14,13.07,0.00,2304053
2021-04-29,65.92,1.77,13.20,31.50,2304053
2021-04-30,77.21,1.70,11.02,0.00,2304053
2021-05-01,73.92,2.73,10.50,3.00,2304053
2021-05-02,69.92,1.69,11.87,0.00,2304053
2021-05-03,57.58,1.36,13.69,3.00,2304053
2021-05-04,87.54,1.95,14.15,25.50,2304053
2021-05-05,64.33,1.99,12.71,0.00,2304053
2021-05-06,37.04,2.34,16.92,0.00,2304053
2021-05-07,68.46,2.51,12.33,5.00,2304053
2021-05-08,65.21,2.64,14.37,0.00,2304053
2021-05-09,58.62,2.32,14.22,10.00,2304053
2021-05-10,80.71,1.16,12.43,2.50,2304053
2021-05-11,31.04,2.70,20.22,0.00,2304053
2021-05-12,58.21,1.30,20.18,0.00,2304053
2021-05-13,65.54,1.30,20.58,0.00,2304053
2021-05-14,64.04,1.26,21.90,0.00,2304053
2021-05-15,94.29,1.25,20.24,37.00,2304053
2021-05-16,96.46,1.15,16.29,32.00,2304053
2021-05-17,92.45,1.09,14.94,2.50,2304053
2021-05-18,74.88,1.24,16.76,0.00,2304053
2021-05-19,60.21,1.31,19.69,0.00,2304053
