date,humidity,wind_speed,temperature,precipitation,region_id
2021-04-12,87.58,2.16,10.88,25.00,2301063
2021-04-13,59.04,2.39,7.52,0.00,2301063
2021-04-14,75.67,1.94,7.63,0.00,2301063
2021-04-15,71.62,2.31,9.41,0.00,2301063
2021-04-16,70.21,1.98,8.78,0.00,2301063
2021-04-17,63.25,2.70,9.16,0.00,2301063
2021-04-18,72.29,2.27,9.18,0.00,2301063
2021-04-19,73.12,2.57,11.08,0.00,2301063
2021-04-20,62.50,1.22,11.68,0.00,2301063
2021-04-21,43.12,1.66,16.49,0.00,2301063
2021-04-22,46.17,1.45,17.77,0.00,2301063
2021-04-23,49.25,1.82,16.71,0.00,2301063
2021-04-24,64.12,2.12,14.65,0.00,2301063
2021-04-25,51.33,2.15,16.05,0.00,2301063
2021-04-26,72.50,1.24,12.74,0.00,2301063
2021-04-27,80.38,2.75,12.33,2.00,2301063
2021-04-28,72.42,1.40,11.33,0.00,2301063
2021-04-29,72.88,2.37,12.17,27.00,2301063
2021-04-30,84.38,1.78,9.80,0.50,2301063
2021-05-01,80.67,2.28,9.43,4.50,2301063
2021-05-02,77.58,2.35,10.72,0.00,2301063
2021-05-03,64.62,1.43,12.08,2.00,2301063
2021-05-04,92.38,2.06,12.82,20.50,2301063
2021-05-05,63.54,2.46,11.92,0.00,2301063
2021-05-06,46.46,3.98,15.87,0.00,2301063
2021-05-07,74.96,3.09,11.68,0.50,2301063
2021-05-08,71.21,3.70,13.14,0.00,2301063
2021-05-09,64.42,2.30,12.92,13.00,2301063
2021-05-10,86.38,1.40,11.78,3.50,2301063
2021-05-11,39.62,2.07,18.55,0.00,2301063
2021-05-12,53.75,1.30,18.53,0.00,2301063
2021-05-13,74.96,1.25,17.87,0.00,2301063
2021-05-14,76.71,1.34,18.56,0.00,2301063
2021-05-15,96.79,1.01,18.20,38.00,2301063
2021-05-16,98.29,1.82,14.47,21.00,2301063
2021-05-17,90.35,1.51,13.85,1.00,2301063
2021-05-18,74.83,1.33,14.30,0.00,2301063
2021-05-19,63.92,1.15,17.23,0.00,2301063
2021-05-20,82.61,2.37,15.64,10.00,2301063
2021-05-21,83.71,2.27,14.72,0.50,2301063
2021-05-22,76.75,1.42,15.44,0.00,2301063
2021-05-23,75.12,1.40,16.59,0.00,2301063
2021-05-24,81.29,2.07,14.84,4.00,2301063
2021-05-25,83.17,2.26,14.01,0.00,2301063
2021-05-26,65.54,3.79,16.76,5.00,2301063
2021-05-27,90.71,2.32,13.80,13.50,2301063
2021-05-28,84.92,2.52,14.87,0.00,2301063
2021-05-29,82.08,1.43,14.19,0.00,2301063
2021-05-30,72.96,1.80,17.92,13.00,2301063
2021-05-31,66.86,1.90,18.59,1.00,2301063
2021-06-01,77.79,1.03,18.45,0.00,2301063
2021-06-02,70.17,0.94,20.53,0.00,2301063
2021-06-03,91.35,1.44,15.28,13.00,2301063
2021-06-04,76.42,3.72,17.19,0.00,2301063
2021-06-05,85.50,2.98,18.43,0.00,2301063
2021-06-06,81.29,1.64,19.56,0.00,2301063
2021-06-07,75.42,0.95,19.17,0.00,2301063
2021-06-08,84.08,1.12,19.84,0.00,2301063
2021-06-09,66.79,0.97,22.92,0.00,2301063
2021-06-10,83.75,2.51,20.38,12.50,2301063
2021-06-11,93.38,1.47,18.05,0.00,2301063
2021-06-12,88.50,1.90,19.03,0.00,2301063
2021-06-13,93.38,1.96,16.45,0.00,2301063
2021-06-14,86.29,1.48,18.43,0.00,2301063
2021-06-15,78.67,1.78,20.98,1.00,2301063
2021-06-16,62.67,1.50,23.01,0.00,2301063
2021-06-17,88.33,1.74,19.00,4.50,2301063
2021-06-18,94.00,1.50,18.03,0.00,2301063
2021-06-19,85.96,1.68,18.77,0.00,2301063
2021-06-20,89.54,2.12,19.20,0.00,2301063
2021-06-21,81.46,1.65,19.68,0.00,2301063
2021-06-22,73.42,1.25,20.73,0.00,2301063
2021-06-23,78.21,1.30,20.67,0.00,2301063
2021-06-24,82.62,1.25,20.04,0.00,2301063
2021-06-25,83.50,1.08,21.15,0.50,2301063
2021-06-26,85.42,0.69,21.00,0.00,2301063
2021-06-27,76.75,1.15,22.67,0.00,2301063
2021-06-28,77.67,1.13,22.67,0.00,2301063
2021-06-29,83.75,1.50,21.90,0.00,2301063
2021-06-30,77.58,1.14,22.41,0.00,2301063
2021-07-01,76.25,1.30,23.89,0.00,2301063
2021-07-02,67.04,1.15,25.30,0.00,2301063
2021-07-03,89.92,3.17,21.41,69.00,2301063
2021-07-04,93.96,1.74,19.83,0.00,2301063
2021-07-05,84.75,0.94,21.55,0.00,2301063
2021-07-06,84.75,0.99,23.03,0.50,2301063
2021-07-07,90.54,1.07,23.09,1.00,2301063
2021-07-08,89.12,1.49,22.36,0.00,2301063
2021-07-09,89.46,1.29,22.40,19.00,2301063
2021-07-10,90.08,1.96,23.45,0.00,2301063
2021-07-11,95.00,1.66,23.41,0.00,2301063
2021-07-12,85.83,1.03,25.36,0.00,2301063
2021-07-13,81.08,1.23,25.95,0.00,2301063
2021-07-14,76.25,2.14,27.01,0.00,2301063
2021-07-15,81.04,1.17,26.11,0.00,2301063
2021-07-16,79.71,1.73,25.39,0.50,2301063
2021-07-17,77.96,1.06,25.68,0.50,2301063
2021-07-18,73.17,1.26,25.93,0.00,2301063
2021-07-19,79.25,0.75,25.77,0.00,2301063
2021-07-20,75.25,0.93,27.14,0.00,2301063
2021-07-21,69.67,1.24,28.06,0.00,2301063
2021-07-22,69.88,1.26,27.24,0.00,2301063
2021-07-23,69.46,1.16,27.33,0.00,2301063
2021-07-24,68.67,1.34,27.83,0.00,2301063
2021-07-25,64.79,1.20,27.65,0.00,2301063
2021-07-26,61.58,1.22,27.57,0.00,2301063
2021-07-27,68.21,1.51,27.64,0.00,2301063
2021-07-28,77.75,1.65,26.70,0.00,2301063
2021-07-29,79.29,1.36,25.90,0.00,2301063
2021-07-30,74.12,2.41,27.37,0.00,2301063
2021-07-31,80.83,1.24,26.25,1.00,2301063
2021-08-01,92.33,1.49,24.59,7.00,2301063
2021-08-02,87.67,1.04,24.38,0.00,2301063
2021-08-03,81.88,1.12,26.37,0.00,2301063
2021-08-04,82.62,1.33,26.08,0.00,2301063
2021-08-05,74.46,1.13,27.18,0.00,2301063
2021-08-06,75.79,1.50,24.57,0.00,2301063
2021-08-07,77.62,1.56,25.70,0.00,2301063
2021-08-08,72.50,1.88,25.97,0.00,2301063
2021-08-09,66.22,2.03,27.32,0.00,2301063
2021-08-10,82.87,1.24,24.53,1.00,2301063
2021-08-11,81.58,1.03,25.13,0.00,2301063
2021-08-12,76.38,1.27,25.54,0.00,2301063
2021-08-13,76.25,1.05,25.12,0.00,2301063
