date,humidity,wind_speed,temperature,precipitation,region_id
2021-04-12,86.54,1.96,12.42,28.00,2309071
2021-04-13,63.33,2.00,8.05,0.00,2309071
2021-04-14,68.96,1.83,8.34,0.00,2309071
2021-04-15,64.79,1.28,11.11,0.00,2309071
2021-04-16,79.08,1.50,8.67,1.00,2309071
2021-04-17,60.29,2.25,9.47,0.00,2309071
2021-04-18,70.96,1.76,9.54,0.00,2309071
2021-04-19,74.42,1.27,11.36,0.00,2309071
2021-04-20,57.62,0.88,13.40,0.00,2309071
2021-04-21,40.83,1.17,19.52,0.00,2309071
2021-04-22,41.62,1.47,20.29,0.00,2309071
2021-04-23,37.75,1.64,18.95,0.00,2309071
2021-04-24,61.71,1.62,15.54,0.00,2309071
2021-04-25,53.83,1.43,15.94,0.00,2309071
2021-04-26,67.50,0.99,14.45,0.00,2309071
2021-04-27,74.75,1.59,14.28,5.50,2309071
2021-04-28,71.38,1.12,12.84,0.00,2309071
2021-04-29,69.58,1.40,13.10,29.00,2309071
2021-04-30,83.62,1.12,11.10,0.00,2309071
2021-05-01,81.46,1.68,10.10,8.50,2309071
2021-05-02,74.17,1.15,11.82,0.00,2309071
2021-05-03,64.21,0.86,13.40,3.00,2309071
2021-05-04,94.17,1.06,13.93,27.00,2309071
2021-05-05,65.46,1.64,12.30,0.00,2309071
2021-05-06,46.96,1.82,16.38,0.00,2309071
2021-05-07,76.58,1.97,12.12,5.50,2309071
2021-05-08,68.42,2.18,14.10,0.00,2309071
2021-05-09,61.83,1.72,14.25,1.50,2309071
2021-05-10,85.62,1.02,11.62,1.50,2309071
2021-05-11,31.21,1.88,20.85,0.00,2309071
2021-05-12,58.33,0.96,19.99,0.00,2309071
2021-05-13,67.25,0.85,20.98,0.00,2309071
2021-05-14,65.58,0.81,22.92,0.00,2309071
2021-05-15,94.71,0.80,20.52,34.50,2309071
2021-05-16,97.58,1.28,16.20,30.50,2309071
2021-05-17,94.78,0.62,14.58,2.50,2309071
2021-05-18,73.96,0.92,16.47,0.00,2309071
2021-05-19,59.38,0.85,19.70,0.00,2309071
2021-05-20,77.83,1.75,17.15,12.50,2309071
2021-05-21,86.58,0.96,15.62,1.00,2309071
2021-05-22,73.62,1.03,17.65,0.00,2309071
2021-05-23,67.17,0.83,19.27,0.00,2309071
2021-05-24,73.08,1.35,17.18,5.00,2309071
2021-05-25,79.54,1.59,14.40,0.00,2309071
2021-05-26,59.88,2.05,18.59,11.50,2309071
2021-05-27,92.33,1.40,14.36,15.00,2309071
2021-05-28,82.92,1.48,15.87,1.00,2309071
2021-05-29,80.08,0.91,14.79,0.00,2309071
2021-05-30,74.91,1.02,19.70,11.50,2309071
2021-05-31,74.50,0.97,19.78,0.50,2309071
2021-06-01,77.29,0.72,20.24,0.00,2309071
2021-06-02,68.54,0.82,22.73,0.00,2309071
2021-06-03,92.67,0.69,16.44,23.20,2309071
2021-06-04,71.83,1.75,18.34,0.00,2309071
2021-06-05,79.25,1.52,20.51,0.00,2309071
2021-06-06,77.33,0.98,21.72,0.00,2309071
2021-06-07,78.38,0.58,20.54,0.00,2309071
2021-06-08,80.33,0.60,22.65,0.50,2309071
2021-06-09,70.67,0.62,24.96,0.00,2309071
2021-06-10,81.29,1.91,22.88,17.00,2309071
2021-06-11,86.78,1.33,20.90,0.00,2309071
2021-06-12,81.75,0.92,22.97,0.00,2309071
2021-06-13,82.00,1.11,21.76,0.00,2309071
2021-06-14,75.58,0.78,22.98,0.50,2309071
2021-06-15,72.42,1.50,22.87,0.50,2309071
2021-06-16,57.33,1.71,24.41,0.00,2309071
2021-06-17,86.50,1.20,20.80,10.00,2309071
2021-06-18,93.17,1.02,19.43,2.50,2309071
2021-06-19,80.43,1.06,20.92,0.00,2309071
2021-06-20,80.00,1.28,22.37,0.00,2309071
2021-06-21,70.92,0.92,23.09,0.00,2309071
2021-06-22,66.17,1.15,23.25,0.00,2309071
2021-06-23,85.54,0.58,21.22,7.00,2309071
2021-06-24,79.04,0.79,22.11,0.00,2309071
2021-06-25,78.61,0.74,23.36,1.00,2309071
2021-06-26,80.75,0.89,22.49,0.00,2309071
2021-06-27,70.88,0.97,24.94,1.00,2309071
2021-06-28,85.00,0.65,22.75,24.00,2309071
